Plasmid_ID	BMC_ID	Gene_perturb	Rep_Number	Guide
C01	D23-5926	HNRNPA2B1	1	1
C01	D23-5927	HNRNPA2B1	2	1
C01	D23-5928	HNRNPA2B1	3	1
C02	D23-5929	HNRNPA2B1	1	2
C02	D23-5930	HNRNPA2B1	2	2
C02	D23-5931	HNRNPA2B1	3	2
C07	D23-5932	CSNK2A1	1	1
C07	D23-5933	CSNK2A1	2	1
C07	D23-5934	CSNK2A1	3	1
C08	D23-5935	CSNK2A1	1	2
C08	D23-5936	CSNK2A1	2	2
C08	D23-5937	CSNK2A1	3	2
C09	D23-5938	NOTCH1	1	1
C09	D23-5939	NOTCH1	2	1
C09	D23-5940	NOTCH1	3	1
C10	D23-5941	NOTCH1	1	2
C10	D23-5942	NOTCH1	2	2
C10	D23-5943	NOTCH1	3	2
P01	D23-5944	Control	1	1
P01	D23-5945	Control	2	1
P02	D23-5947	Control	1	2
P02	D23-5948	Control	2	2
P02	D23-5949	Control	3	2
