source	target
UBL3	RBFOX1
UBL3	APP
UBL3	M1AP
UBL3	RNF126
MZT1	CYGB
MZT1	CINP
MZT1	TRIM72
VPS37A	VPS36
VPS37A	APP
VPS37A	STAM
VPS37A	MVB12A
SOST	LRP6
SOST	SORL1
SLC22A4	SLC9A3R1
SLC22A4	HRAS
SLC22A4	PDZK1
SLC22A4	HMDB0000062
SLC10A2	HMDB0011637
SLC10A2	CCL4L2
RETREG1	RAB11A
RETREG1	GABARAP
RETREG1	KIF1A
HMDB0004955	PIGN
HMDB0004955	PPAP2C
HMDB0004955	UGT8
HMDB0004955	GBA
HMDB0004955	ABCA7
USE1	APP
USE1	MEOX2
USE1	STX1A
USE1	TYW5
USE1	STX4
HMDB0000802	MTR
PVRIG	OLFM4
PVRIG	PTPN11
PVRIG	PTPN6
PVRIG	LRIG3
PVRIG	INPP5D
HSPB9	USP12
MIB1	DAPK1
MIB1	NOTCH1
MIB1	SNX5
MIB1	MYC
MIB1	MAPRE1
MIB1	ADAM10
MIB1	DLL1
MIB1	GABARAP
MIB1	JAG1
UGT1A5	HMDB0000295
DLL1	NOTCH1
DLL1	APH1B
DLL1	ADAM10
DLL1	NOTCH3
DLL1	JAG1
DLL1	PSEN2
DLL1	PSEN1
PI16	TMBIM6
PI16	TMEM86A
SYT14	SYT16
PICALM	ATXN1
PICALM	AP2A1
PICALM	BAZ2B
PICALM	EGFR
PICALM	FHL2
PICALM	LRP1
PICALM	SH3GLB2
PPP4C	H2AFX
PPP4C	HIVEP2
PPP4C	SMEK1
PPP4C	TP53
GUCD1	PCNA
GUCD1	HESX1
GUCD1	APP
GUCD1	MEOX2
GUCD1	NDUFAF6
GUCD1	LHX3
GUCD1	HSPB7
GUCD1	RUNX3
GUCD1	TXN2
HSPBP1	CRK
HSPBP1	HSPA8
HSPBP1	APP
HSPBP1	HSF1
HSPBP1	HSPA1B
HSPBP1	HSPA2
HSPBP1	HSPA5
HSPBP1	PGLYRP1
HSPBP1	SUMO1
HMDB0000061	HS3ST1
HMDB0000061	HS6ST2
HMDB0000061	IMPAD1
HMDB0004956	PPAP2C
HMDB0004956	UGT8
HMDB0004956	GBA
HMDB0004956	PIGN
HMDB0004956	ABCA7
GEMIN7	XRCC3
GEMIN7	ADD1
GEMIN7	NUP50
GEMIN7	SEH1L
GEMIN7	TAOK1
SP4	CIB3
NOTCH3	NOTCH1
NOTCH3	RABGGTB
NOTCH3	MYC
NOTCH3	LRP1
NOTCH3	NCK1
NOTCH3	APH1B
NOTCH3	ADAM10
NOTCH3	CSNK2B
NOTCH3	JAG1
NOTCH3	PSEN1
NOTCH3	PSEN2
NOTCH3	SLC39A1
PICK1	WT1
PICK1	MAPRE3
PICK1	CYP21A2
PICK1	PAFAH1B3
PICK1	HSD17B14
PICK1	OARD1
PICK1	AKAP9
PICK1	AP2A1
PICK1	AP2M1
PICK1	ASIC2
PICK1	CTNNB1
PICK1	LGALS14
PICK1	MAPK9
PICK1	MEOX2
PICK1	NDEL1
PICK1	PARK2
PICK1	PAX6
PICK1	PBX4
PICK1	SH3GLB2
PICK1	UBQLN4
PICK1	ZSCAN21
SHFM1	HSPA8
SHFM1	UBQLN4
SHFM1	UBE2I
SHFM1	BRCA2
SHFM1	RPF2
SHFM1	PSMC1
SHFM1	CKAP5
HSPA1L	RAB11A
HSPA1L	HSPA6
HSPA1L	CRK
HSPA1L	HSPA8
HSPA1L	HSF1
HSPA1L	TRIM38
HSPA1L	AP2M1
HSPA1L	BAG3
HSPA1L	CLU
HSPA1L	COPS6
HSPA1L	CUL1
HSPA1L	GAPDH
HSPA1L	HRAS
HSPA1L	HSPA1B
HSPA1L	HSPA5
HSPA1L	IKBKB
HSPA1L	MEPCE
HSPA1L	MYC
HSPA1L	PARK2
HSPA1L	SHMT1
HSPA1L	TP53
HSPA1L	TRADD
HSPA1L	TXN2
HSPA1L	YWHAZ
SERPINA2	XRCC6
UGT1A6	UGT1A4
UGT1A6	UGT1A1
UGT1A6	UGT1A9
UGT1A6	CYP3A4
UGT1A6	HNF4A
UGT1A6	UGT1A10
UGT1A6	UGT1A7
UGT1A6	UGT1A8
UGT1A6	HMDB0000295
CIB4	ATG9A
CIB4	TXN2
ROCK1	NOTCH1
ROCK1	OBSCN
ROCK1	HRAS
ROCK1	ABR
ROCK1	MSN
ROCK1	ADD1
ROCK1	ARHGEF12
ROCK1	GFAP
ROCK1	IKBKB
ROCK1	MYBPH
ANK1	CD44
ANK1	CHL1
ANK1	HSPB1
ANK1	OBSCN
ANK1	SCN8A
ANK1	SLC30A8
ANK1	SPTA1
ANK1	SUMO1
ANK1	TTN
CSE1L	TXNL1
CSE1L	CDK2
CSE1L	CKB
CSE1L	CRK
CSE1L	CYB5B
CSE1L	EGFR
CSE1L	HSPA5
CSE1L	KPNB1
CSE1L	MS4A4A
CSE1L	MYC
CSE1L	NPEPPS
CSE1L	RPS6KA3
CSE1L	SLC9A3R1
CSE1L	SUMO1
CSE1L	TP53
CSE1L	URM1
CSE1L	YWHAZ
PTPN6	ACTN4
PTPN6	ERBB3
PTPN6	LMTK2
PTPN6	CTNNB1
PTPN6	EGFR
PTPN6	PILRA
PTPN6	HLA-DQA2
PTPN6	ROS1
PTPN6	PLCG2
PTPN6	IGF1R
PTPN6	TLR10
PTPN6	PTK2B
PTPN6	SSTR2
PTPN6	HLA-DRA
PTPN6	PILRB
PTPN6	HLA-DRB1
PTPN6	CD33
PTPN6	PTPN11
PTPN6	TFG
PTPN6	LYN
PTPN6	HLA-DQA1
PTPN6	SIRPA
PTPN6	ACTN1
PTPN6	CD47
PTPN6	CKAP5
PTPN6	HLA-DQB1
PTPN6	HLA-DQB2
PTPN6	HLA-DRB5
PTPN6	INPP5D
PTPN6	MS4A2
PTPN6	STAT5B
MS4A14	SEC22A
MS4A14	CDIPT
MS4A14	GIMAP5
NNT	IDH2
NNT	HSPB1
NNT	CTNNB1
NNT	APOE
NNT	APP
NNT	AGPS
NNT	NDUFA13
NNT	NDUFS1
NNT	HMDB0000221
NNT	DCTN1
NNT	GLUD1
NNT	LRPPRC
NNT	HMDB0000217
CCSER2	ATRX
CCSER2	APP
CCSER2	NDEL1
CCSER2	STX1A
HMDB0011761	UGT8
HMDB0011761	GBA
HMDB0011761	PIGN
HMDB0011761	ABCA7
HSPB7	PCNA
HSPB7	APP
HSPB7	C22orf15
HSPB7	BAG3
HSPB7	HSPB8
CYP4V2	HMDB0000067
CYP4V2	LYN
CYP4V2	HMDB0000221
CYP4V2	HMDB0000217
CYP4V2	HMDB0003178
FAIM	MYC
FAIM	LHX3
FAIM	LOC102724334
LHX9	CSNK2A1
LHX9	IGFN1
COPS2	IRF8
COPS2	FEM1B
COPS2	CSNK2A1
COPS2	COPS6
COPS2	EPB41L1
COPS2	CUL1
COPS2	CSNK2B
COPS2	PSMC1
COPS2	TP53
COPS2	ZNF446
GIMAP5	CYB561
GIMAP5	SMIM3
GIMAP5	SYT1
GIMAP5	APP
GIMAP5	EDA
GIMAP5	STX1A
GIMAP5	CD33
GIMAP5	STX4
SHMT1	STXBP1
SHMT1	MYC
SHMT1	SUMO1
SHMT1	ALAS1
SHMT1	MAPK9
SHMT1	DEDD
SHMT1	CSNK2B
COBL	ALAS1
COBL	MAPRE1
COBL	SYNPO
COBL	PACSIN2
GPRC5D	TMEM208
GPRC5D	MS4A6A
GPRC5D	PVR
GPRC5D	SLC30A2
SORL1	IL6R
SORL1	MYC
SORL1	APOE
SORL1	APP
SORL1	COPS6
SORL1	GGA1
SORL1	CUL1
SORL1	DUSP10
SORL1	LPL
SORL1	LRPAP1
CD47	BNIP3
CD47	MYC
CD47	GNAI1
CD47	PVR
CD47	PTK2B
CD47	SIRPB1
CD47	PTPN11
CD47	SIRPA
CD47	SPI1
PAK1	SPEN
PAK1	ABI3
PAK1	CRK
PAK1	APP
PAK1	BAIAP2
PAK1	CDK2
PAK1	CIB1
PAK1	CSNK2A1
PAK1	CTNNB1
PAK1	EGFR
PAK1	LYN
PAK1	NCK1
PAK1	PLCG2
PAK1	PLXNA1
PAK1	PLXNA4
PAK1	PPM1F
PAK1	RHOU
PAK1	SCRIB
PAK1	TGFBR2
PAK1	YWHAZ
UGT1A1	UGT1A4
UGT1A1	CYP3A4
UGT1A1	UGT1A10
UGT1A1	UGT1A7
UGT1A1	UGT1A8
UGT1A1	UGT1A9
UGT1A1	HMDB0000295
IGFBP3	IGF1
IGFBP3	IGFALS
IGFBP3	CD44
IGFBP3	CSNK2A1
IGFBP3	CTSD
IGFBP3	EGFR
IGFBP3	FBN1
IGFBP3	IGF1R
IGFBP3	KRAS
IGFBP3	LTBP1
IGFBP3	PRKDC
IGFBP3	TF
IGFBP3	TMEM219
IGFBP3	TP53
H2BC21	EME1
H2BC21	MLLT1
H2BC21	OBSCN
H2BC21	SVIL
H2BC21	ACTN2
H2BC21	TMEM135
H2BC21	NEB
H2BC21	TTN
H2BC21	NUP50
H2BC21	USP12
H2BC21	AP2M1
H2BC21	MEPCE
H2BC21	MAP4K4
H2BC21	CDK2
H2BC21	CUL1
H2BC21	STK38
H2BC21	TPM3
M1AP	LMNB1
FEM1B	WNT3A
FEM1B	COPS6
FEM1B	PPM1F
FEM1B	TGFB1
ME3	HMDB0000221
ME3	HMDB0000217
XXYLT1	HMDB0000295
TMEM101	VAMP1
TMEM101	BNIP3
TMEM101	DRD2
TMEM101	STX10
TMEM101	VAPB
LARP1B	APP
LARP1B	LARP1
LARP1B	MEOX2
LARP1B	MEPCE
LARP1B	MYC
LARP1B	TBC1D25
GDI2	RAB11A
GDI2	ABR
GDI2	ACTN2
GDI2	ACTR6
GDI2	BAG3
GDI2	GLRA2
GDI2	HSPB1
GDI2	RHOU
GDI2	RAB6A
GDI2	RAB8B
PLCG2	DAGLB
PLCG2	EPYC
PLCG2	EPB41L2
PLCG2	TRPC3
PLCG2	NBR1
PLCG2	TREM2
PLCG2	ITPKA
PLCG2	MYC
PLCG2	EGFR
PLCG2	ASB9
PLCG2	ESD
PLCG2	FHL2
PLCG2	LYN
PLCG2	MS4A2
PLCG2	NCK1
PLCG2	PTPN11
PLCG2	TP53
PLCG2	TRPC6
PLCG2	TRPC7
PLCG2	TYROBP
LRP6	RAB11A
LRP6	WNT3A
LRP6	CSNK1A1
LRP6	CAPRIN2
LRP6	CTNNB1
LRP6	ANTXR1
LRP6	DKK1
LRP6	FZD1
TXN2	MAPRE3
TXN2	ABI3
TXN2	PEX19
TXN2	AK1
TXN2	SOD1
TXN2	MEOX2
TXN2	SPTA1
TXN2	BHLHB9
TXN2	PPCDC
TIMM8B	TGFB1
TIMM8B	TIMM13
TIMM8B	TOMM40
SIRPA	PTK2B
SIRPA	PTPN11
SIRPA	INPP5D
SIRPA	TRIM2
SLC22A6	APP
SLC22A6	HMDB0000121
SLC22A6	HMDB0001448
SLC22A6	HMDB0000058
SPI1	IRF8
SPI1	TAL1
SPI1	NFATC1
SPI1	CSNK2A1
SPI1	IRF4
SPI1	MYB
SPI1	PRTN3
SPI1	PRKDC
SPI1	CSF1R
SPI1	PIP
SPI1	SERPINB1
NDEL1	ABI3
NDEL1	ZNF707
NDEL1	SEH1L
NDEL1	PAFAH1B1
NDEL1	APP
NDEL1	LMNB1
NDEL1	CKAP5
NDEL1	MAD2L1
NDEL1	MAPRE1
NDEL1	PPP1CC
NDEL1	TAOK1
NDEL1	VPS39
NDEL1	ZNF57
NDEL1	DCTN1
PEX13	PEX19
PEX13	ADAM10
FBXL22	ACTN2
FBXL22	FLNC
FBXL22	CUL1
IMPAD1	HMDB0001134
FAM9C	SNAP29
FAM9C	TPM3
PRAP1	HSPA6
PRAP1	MEOX2
NFATC1	IRF8
NFATC1	HOMER2
NFATC1	HOMER3
NFATC1	KPNB1
NFATC1	MYC
NFATC1	ORAI1
NFATC1	PARP1
NFATC1	PPP3CA
NFATC1	PPP3R1
NFATC1	RPS6KA3
NFATC1	STIM1
NFATC1	SUMO1
NFATC1	UBE2I
NFATC1	YWHAZ
CLNK	WWOX
CLNK	CRK
CLNK	EGFR
CLNK	GLIS3
CLNK	STK36
MUS81	EME1
MUS81	CSNK2A1
MUS81	ERCC4
MUS81	SLX4
CYCS	DSG2
CYCS	HSPA8
CYCS	APC
CYCS	MYC
CYCS	HSPB1
CYCS	CTNNB1
CYCS	MEOX2
CYCS	COX6A1
CYCS	CYB5B
CYCS	POR
CYCS	NDUFA13
CYCS	NDUFS1
CYCS	ADD1
CYCS	UQCRFS1
CYCS	EPB41
CYCS	HMDB0003178
CYCS	CDK2
PPM1G	AHCYL1
PPM1G	KPNB1
PPM1G	LRPAP1
PPM1G	MEPCE
PPM1G	PARP1
PPM1G	STAM
PPM1G	UGP2
PPM1G	XRCC6
WASL	WWOX
WASL	SLC9A3R1
WASL	CRK
WASL	ARPC3
WASL	APP
WASL	BAIAP2
WASL	CIB1
WASL	EGFR
WASL	HRAS
WASL	NCK1
WASL	NCKAP1
WASL	PACSIN2
PPP1R10	XRCC3
PPP1R10	PRKACA
PPP1R10	XRCC6
PPP1R10	APP
PPP1R10	SUMO1
PPP1R10	OBSL1
PPP1R10	PPP1CC
GAGE12G	EXOC3L2
PALLD	ACTN1
PALLD	HOMER2
PALLD	HOMER3
PALLD	HSPB1
HMDB0000742	AHCYL1
HMDB0000742	MTR
CAPRIN2	COPS6
CAPRIN2	FERMT2
CAPRIN2	MEOX2
MVB12A	APP
MVB12A	CD2AP
BZW2	EGFR
PRDX6	TXNL1
PRDX6	PGLS
PRDX6	ORM2
PRDX6	CAPG
PRDX6	CD2AP
PRDX6	CDK2
PRDX6	CUL1
PRDX6	DNM1L
PRDX6	GSTP1
PRDX6	HSPA8
PRDX6	HSPB1
PRDX6	IDH2
