NAME	prize	source	magnitude	terminal	type	degree	betweenness	louvain_clusters	location	general_process	specific_process.x	general_function	specific_function	robustness	specificity	ast_FC	ex_FC	in_FC	mic_FC	oli_FC	opc_FC	data_source	greedy_clusters	label_prop_cluster	tau_aggregation_FC	dpr_FC	lysosome_FC	ROS_oxidation_FC	essentiality_CRISPRa_FC	essentiality_CRISPRi_FC	drug_target	HD_locus	HD_functional	barplot	tau_modifier	specific_process	general_datatype
1,3-Diaminopropane	0		NA	FALSE	protein	11	4.31371996057023e-06	6						0.45	0.04	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
4-Hydroxyestradiol	0		NA	FALSE	protein	7	9.62471777008677e-07	11						0.46	0.07	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
AAK1	0.0369325399994356	human proteomics	-0.0803092138462057	TRUE	protein	28	6.66647081542219e-06	13	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	0.74	0	NA	NA	NA	NA	NA	NA	human proteomics	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Clathrin-mediated endocytosis	human proteomics
ABCA7	0.85	accessible GWAS locus	0	TRUE	protein	117	0.000292415056795179	5	plasma_membrane	biological regulation	nonspecific function	catalytic	hydrolase	1	0.07	NA	0.326668625843353	NA	NA	NA	NA	accessible GWAS locus	5	25	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	ABC transporters in lipid homeostasis	human GWAS
ABHD15	0		NA	FALSE	protein	13	8.4863441854368e-07	9	extracellular	metabolic process	cellular metabolic process	catalytic	hydrolase	0.57	0.02	NA	NA	NA	NA	NA	NA	steiner node	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
ABI3	0.85	GWAS locus	0	TRUE	protein	78	3.34301348413552e-05	6	plasma_membrane	metabolic process	nitrogen compound metabolic process	binding	protein binding	1	0.11	NA	NA	NA	NA	NA	NA	GWAS locus	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	nitrogen compound metabolic process	human GWAS
ABR	0.0469326119547516	human proteomics	-0.0755185743733542	TRUE	protein	137	4.8733710713961e-05	7	cytoplasm	biological regulation	nonspecific function	molecular function regulator	guanyl-nucleotide exchange factor	0	0.09	NA	NA	NA	NA	NA	NA	human proteomics	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	G alpha (12/13) signalling events	human proteomics
ACACA	0.95	fly genetic screen	0	TRUE	protein	79	0.000135605805061384	0	extracellular	cellular process	cellular component organization	binding	protein binding	1	0.02	NA	NA	NA	NA	NA	NA	fly genetic screen	4	24	0	0	0	0	0	-2.506842623	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	cellular component organization	drosophila genetics
ACADM	0.0250455108327547	abeta drosophila phosphoproteomics	-1.25549214523562	TRUE	protein	155	0.000279861322474082	12	mitochondria	metabolic process	cellular metabolic process	catalytic	oxidoreductase	0	0.06	NA	NA	NA	NA	NA	NA	abeta drosophila phosphoproteomics	5	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	PPARA activates gene expression	drosophila phoshoproteomics
ACE	0.85	GWAS locus	0	TRUE	protein	17	4.96579953058688e-05	0	extracellular	biological regulation	regulation of biological quality	catalytic	hydrolase	1	0.04	NA	NA	NA	NA	NA	NA	GWAS locus	1	24	0	0	0	0	1.98063966	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Peptide hormone metabolism	human GWAS
ACHE	0.7	drosophila tau proteomics	2.74035396492596	TRUE	protein	25	4.57900516629283e-05	6	extracellular	cellular process	cellular component organization	binding	protein binding	1	0.04	NA	NA	NA	NA	NA	NA	drosophila tau proteomics	3	24	0	0	0	0	3.730838666	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Neurotransmitter clearance	drosophila proteomics
ACOX2	0.95	tau fly genetic screen	0	TRUE	protein	47	1.08088736594113e-05	12	peroxisome	cellular process	cellular component organization	catalytic	oxidoreductase	1	0.03	NA	NA	NA	NA	NA	NA	tau fly genetic screen	5	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	drosophila genetics
ACSM1	0.85	GWAS locus	0	TRUE	protein	58	0.000167373568017694	3	extracellular	metabolic process	cellular metabolic process	catalytic	ligase	1	0.1	NA	NA	NA	NA	NA	NA	GWAS locus	3	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Conjugation of phenylacetate with glutamine	human GWAS
ACTN1	0.0466731599664822	human proteomics	-0.105093990454515	TRUE	protein	152	0.000248275256089818	8	plasma_membrane	cellular process	cellular component organization	binding	protein binding	0.79	0.09	NA	NA	NA	NA	NA	NA	human proteomics	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Nephrin family interactions	human proteomics
ACTN2	0.140406310509907	human proteomics	-0.17248204578246	TRUE	protein	190	0.000470495695039416	8	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	1	0.33	NA	NA	NA	NA	-0.526223618129046	NA	human proteomics	2	24	0	0	0	0	2.830210858	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Striated Muscle Contraction	human proteomics
ACTN4	0.0355168387783078	human proteomics	-0.0683719691324442	TRUE	protein	125	6.47223167070483e-05	8	nucleus	biological regulation	nonspecific function	binding	protein binding	0.98	0.1	NA	NA	NA	NA	NA	NA	human proteomics	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Nephrin family interactions	human proteomics
ACTR6	0.95	tau fly genetic screen	0	TRUE	protein	30	1.2885190432632e-06	2	nucleus	cellular process	cellular component organization	binding	protein binding	1	0.08	NA	-0.256691246814398	-0.264477558298227	NA	NA	NA	tau fly genetic screen	8	24	0	1e-05	0	0	0	-2.315595464	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	cellular component organization	drosophila genetics
ACTR8	0.95	fly genetic screen	0	TRUE	protein	24	5.59768146280395e-06	9	nucleus	cellular process	cell cycle	binding	protein binding	1	0.08	NA	NA	NA	NA	NA	NA	fly genetic screen	10	24	0	0	-6.676828579	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Global Genome Nucleotide Excision Repair (GG-NER)	drosophila genetics
ADAM10	0.85	GWAS locus	0	TRUE	protein	99	0.000300255113903846	4	plasma_membrane	cellular process	cell communication	catalytic	hydrolase	1	0.21	NA	NA	NA	NA	NA	NA	GWAS locus	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	human GWAS
ADAMTS1	0.85	GWAS locus	0	TRUE	protein	25	0.000143177438805092	12	cytoplasm	biological regulation	nonspecific function	catalytic	hydrolase	1	0.08	NA	NA	NA	NA	0.356347822114922	NA	GWAS locus	5	24	0	0	0	0	0	-2.350170149	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Defective B3GALTL causes Peters-plus syndrome (PpS)	human GWAS
ADAMTS4	0.85	GWAS locus	0	TRUE	protein	27	2.68406262470456e-05	3	nucleus	cellular process	cellular component organization	catalytic	hydrolase	1	0.1	NA	NA	NA	NA	NA	NA	GWAS locus	6	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Diseases of metabolism	human GWAS
ADD1	0.95	tau fly genetic screen	0	TRUE	protein	72	4.74314885200565e-05	10	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	1	0	NA	NA	NA	NA	NA	NA	tau fly genetic screen	2	24	0	0	0	0	0	-2.903449004	0	1	1	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Apoptosis	drosophila genetics
AGPS	0.95	tau fly genetic screen	0	TRUE	protein	88	0.000371501461328052	9	peroxisome	metabolic process	biosynthetic process	catalytic	transferase	1	0.21	NA	NA	NA	NA	NA	NA	tau fly genetic screen	7	24	0	0	0	-2.22577219	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	TYSND1 cleaves peroxisomal proteins	drosophila genetics
AHCYL1	0.95	tau fly genetic screen	0	TRUE	protein	132	0.00029898564593452	2	extracellular	biological regulation	nonspecific function	binding	protein binding	1	0.14	NA	NA	NA	NA	NA	NA	tau fly genetic screen	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Anti-inflammatory response favouring Leishmania parasite infection	drosophila genetics
AK1	0.0168405540711076	human proteomics	0.0949706601550633	TRUE	protein	48	3.33817623761959e-05	0	extracellular	metabolic process	nitrogen compound metabolic process	catalytic	transferase	0	0.01	NA	NA	NA	NA	NA	NA	human proteomics	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Interconversion of nucleotide di- and triphosphates	human proteomics
